function, value
MmMapIoSpace, 5
MmMapIoSpaceEx, 5
IoCreateSymbolicLink, 5
WdfDeviceCreateSymbolicLink, 5
ZwMapViewOfSection, 4
ZwMapViewOfSectionEx, 4
IoCreateDevice, 3
WdfDeviceCreateDeviceInterface, 3
WdfIoQueueCreate, 3
ZwOpenSection, 3
IoAllocateMdl, 3
SeSinglePrivilegeCheck, 3
SePrivilegeCheck, 3
MmInitializeMdl, 3
WdfMemoryGetBuffer, 3
MmBuildMdlForNonPagedPool, 1
MmProbeAndLockPages, 1
MmMapLockedPagesSpecifyCache, 1
MmMapLockedPages, 1
MmGetPhysicalAddress, 2
KeStackAttachProcess, 2
WdfControlDeviceInitAllocate, 2
IoGetRequestorProcessId, 1
PsGetCurrentProcessId, 1
MmGetSystemRoutineAddress, 1
MmMapMemoryDumpMdl, 2
ZwUnmapViewOfSection, 1
MmUnmapIoSpace, 2
IoFreeMdl, 1
WdfDeviceInitSetIoInCallerContextCallback, 3
WdfDeviceInitAssignWdmIrpPreprocessCallback, 2
WdmlibIoCreateDeviceSecure, 2
WdfIoTargetOpen, 2
WdfIoTargetSendInternalIoctlSynchronously, 1
WdfChildListAddOrUpdateChildDescriptionAsPresent, 1
WdfRequestRetrieveUnsafeUserOutputBuffer, 1
WdfRequestProbeAndLockUserBufferForWrite, 1
WdfRequestRetrieveUnsafeUserInputBuffer, 1
WdfRequestProbeAndLockUserBufferForRead, 1
memcpy, 2
MmCopyMemory, 1
MmCopyVirtualMemory, 1
memset, 1
memmov, 2